user_login,user_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
not_grant,Nashi ptash,,Pyrrhopappus carolinianus,Carolina desert-chicory,Plantae,128733
rickowen,Rick Owen,"",Aloe maculata,soap aloe,Plantae,75379
rickowen,Rick Owen,"",Quercus,oaks,Plantae,47851
jean56498,Jean Rivero,Trébol blanco,Trifolium repens,white clover,Plantae,55745
rickowen,Rick Owen,Indian blanket,Gaillardia pulchella,Indian blanket,Plantae,51768
jadewoodling,Jade Woodling,white clover,Trifolium repens,white clover,Plantae,55745
rickowen,Rick Owen,"",Lepidium virginicum,Virginia pepperweed,Plantae,77676
loganstyma,,"",Coenagrionidae,Narrow-winged Damselflies,Insecta,47925
rickowen,Rick Owen,"",Erigeron,fleabanes and horseweeds,Plantae,50879
rickowen,Rick Owen,"",Quercus laurifolia,swamp laurel oak,Plantae,69845
rickowen,Rick Owen,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
jadewoodling,Jade Woodling,southern dewberry,Rubus trivialis,southern dewberry,Plantae,69714
rickowen,Rick Owen,"",Bidens bipinnata,Spanish needles,Plantae,50202
carlos72422,Carlos Ariza,Mississippi Kite,Ictinia mississippiensis,Mississippi Kite,Aves,5416
emmollon,,Mississippi Kite,Ictinia mississippiensis,Mississippi Kite,Aves,5416
rickowen,Rick Owen,"",Hydrocotyle umbellata,manyflower marshpennywort,Plantae,58792
rickowen,Rick Owen,"",Melanthera nivea,Snow Squarestem,Plantae,131167
rickowen,Rick Owen,groundsel tree,Baccharis halimifolia,groundsel tree,Plantae,84813
rickowen,Rick Owen,"",Vernonia,ironweeds,Plantae,121959
emmollon,,Indian blanket,Gaillardia pulchella,Indian blanket,Plantae,51768
rickowen,Rick Owen,"",Baptisia,wild indigos,Plantae,51723
rickowen,Rick Owen,"",Viburnum obovatum,Walter's Viburnum,Plantae,170202
rickowen,Rick Owen,sunshine mimosa,Mimosa strigillosa,sunshine mimosa,Plantae,165400
rickowen,Rick Owen,Lantana,Lantana strigocamara,Lantana,Plantae,370492
jean56498,Jean Rivero,,Buteo lineatus,Red-shouldered Hawk,Aves,5206
willow25766,Willow Titus,"",Bidens alba,White beggarticks,Plantae,1095846
carlos72422,Carlos Ariza,,Kalanchoe delagoensis,Mother of Thousands,Plantae,164328
ravenroque,,Red-shouldered Hawk,Buteo lineatus,Red-shouldered Hawk,Aves,5206
jadewoodling,Jade Woodling,Red-shouldered Hawk,Buteo lineatus,Red-shouldered Hawk,Aves,5206
willow25766,Willow Titus,"",Buteo lineatus,Red-shouldered Hawk,Aves,5206
rickowen,Rick Owen,"",Silphium,Rosinweeds,Plantae,54006
rickowen,Rick Owen,"",Desmodium incanum,creeping beggarweed,Plantae,116694
rickowen,Rick Owen,"",Stachys floridana,Florida Hedgenettle,Plantae,126483
rickowen,Rick Owen,"",Zanthoxylum clava-herculis,Hercules' club,Plantae,119986
mitchievm,Malachi Moore,Red-shouldered Hawk,Buteo lineatus,Red-shouldered Hawk,Aves,5206
rickowen,Rick Owen,American beautyberry,Callicarpa americana,American beautyberry,Plantae,49193
rickowen,Rick Owen,"",Sambucus canadensis,American black elderberry,Plantae,84300
rickowen,Rick Owen,Asteroideae,Asteroideae,,Plantae,632790
jean56498,Jean Rivero,,Pyrrhopappus carolinianus,Carolina desert-chicory,Plantae,128733
willow25766,Willow Titus,"",Callicarpa americana,American beautyberry,Plantae,49193
jadewoodling,Jade Woodling,baldcypress,Taxodium distichum,baldcypress,Plantae,49666
rickowen,Rick Owen,"",Solidago,goldenrods,Plantae,48678
jean56498,Jean Rivero,,Cupressaceae,cypress family,Plantae,47374
rickowen,Rick Owen,"",Helianthus debilis,cucumberleaf sunflower,Plantae,126565
rickowen,Rick Owen,"",Ruellia caroliniensis,Carolina ruellia,Plantae,128653
jean56498,Jean Rivero,,Rumex,docks and sorrels,Plantae,53196
jadewoodling,Jade Woodling,dogfennel,Eupatorium capillifolium,dogfennel,Plantae,131154
jean56498,Jean Rivero,,Eupatorium capillifolium,dogfennel,Plantae,131154
jean56498,Jean Rivero,,Tracheophyta,vascular plants,Plantae,211194
ravenroque,,,Rumex hastatulus,Hastate-leaved dock,Plantae,127278
jadewoodling,Jade Woodling,Cnidoscolus,Cnidoscolus,,Plantae,81816
jean56498,Jean Rivero,,Cnidoscolus stimulosus,spurge nettle,Plantae,160765
jean56498,Jean Rivero,,Fungi,Fungi Including Lichens,Fungi,47170
melissa_doudna,Melissa Doudna,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
emily35932,Emily Hague,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
karlaceae,Karl Ensberg,"True Bugs, Hoppers, Aphids, and allies",Hemiptera,"True Bugs, Hoppers, Aphids, and allies",Insecta,47744
jadewoodling,Jade Woodling,Stereum,Stereum,,Fungi,55503
emily35932,Emily Hague,pines,Pinus,pines,Plantae,47561
emily35932,Emily Hague,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
jadewoodling,Jade Woodling,ruellias,Ruellia,ruellias,Plantae,83892
jean56498,Jean Rivero,,Ruellia caroliniensis,Carolina ruellia,Plantae,128653
emily35932,Emily Hague,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,Aves,9083
jean56498,Jean Rivero,hierba de colorín,Erythrina herbacea,Coral Bean,Plantae,128717
paws1985,A. Sabol,"",Alligator mississippiensis,American Alligator,Reptilia,26159
emmollon,,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
emily35932,Emily Hague,Green Anole,Anolis carolinensis,Green Anole,Reptilia,36514
camden_anson,Camden Anson,American Alligator,Alligator mississippiensis,American Alligator,Reptilia,26159
camden_anson,Camden Anson,American Alligator,Alligator mississippiensis,American Alligator,Reptilia,26159
melissa_doudna,Melissa Doudna,Green Anole,Anolis carolinensis,Green Anole,Reptilia,36514
melissa_doudna,Melissa Doudna,,Pinus,pines,Plantae,47561
melissa_doudna,Melissa Doudna,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
melissa_doudna,Melissa Doudna,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
melissa_doudna,Melissa Doudna,,Cardinalis,Typical Cardinals,Aves,9080
melissa_doudna,Melissa Doudna,,Animalia,Animals,Animalia,1
melissa_doudna,Melissa Doudna,,Cardinalis cardinalis,Northern Cardinal,Aves,9083
eomigrans,"",Deirochelyine Turtles,Deirochelyinae,Deirochelyine Turtles,Reptilia,797544
carlos72422,Carlos Ariza,,Juniperus virginiana,eastern redcedar,Plantae,49399
yxugnv,,"",Ruellia,ruellias,Plantae,83892
rickowen,Rick Owen,lined orbweaver,Mangora gibberosa,lined orbweaver,Arachnida,153557
rickowen,Rick Owen,Bicolored Plushback,Palpada pusilla,Bicolored Plushback,Insecta,203627
rickowen,Rick Owen,Nematoceran Flies,Nematocera,Nematoceran Flies,Insecta,154259
rickowen,Rick Owen,Carolina Wren,Thryothorus ludovicianus,Carolina Wren,Aves,7513
rickowen,Rick Owen,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
rickowen,Rick Owen,American pokeweed,Phytolacca americana,American pokeweed,Plantae,48599
rickowen,Rick Owen,Grape Flea Beetle,Altica chalybea,Grape Flea Beetle,Insecta,213091
rickowen,Rick Owen,Carolina desert-chicory,Pyrrhopappus carolinianus,Carolina desert-chicory,Plantae,128733
rickowen,Rick Owen,Cuban Tree Frog,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382
jimsib,,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
mkinaturalist,"","",Oenothera laciniata,cutleaf evening primrose,Plantae,78243
lauriefaganjennings,,"",Carya,hickories,Plantae,54788
yxugnv,,"",Ruellia,ruellias,Plantae,83892
jimsib,,"",Toxicodendron radicans,eastern poison ivy,Plantae,58732
lauriefaganjennings,,"",Ruellia,ruellias,Plantae,83892
gcschmidt911,,"",Quercus margaretiae,sand post oak,Plantae,371998
mbelgrade,,"",Smilax,greenbriers,Plantae,60748
lauriefaganjennings,,passionflowers,Passiflora,passionflowers,Plantae,51452
lauriefaganjennings,,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
yxugnv,,"",Quercus nigra,water oak,Plantae,53640
mollycoburn,,"",Oxalis,woodsorrels,Plantae,47758
yxugnv,,baldcypress,Taxodium distichum,baldcypress,Plantae,49666
mollycoburn,,"",Carya glabra,pignut hickory,Plantae,54789
nbullian01,,"",Quercus,oaks,Plantae,47851
mollycoburn,,"",Dichanthelium,rosette grasses,Plantae,128807
lauriefaganjennings,,"",Aesculus pavia,Red Buckeye,Plantae,81708
yxugnv,,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
nbullian01,,"",Dichanthelium commutatum,variable witchgrass,Plantae,161782
gladeswader,Gladeswader,corkystem passionvine,Passiflora pallida,corkystem passionvine,Plantae,287170
mollycoburn,,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
lauriefaganjennings,,"",Lonicera sempervirens,coral honeysuckle,Plantae,119809
mollycoburn,,"",Desmodium paniculatum,panicled ticktrefoil,Plantae,130993
gladeswader,Gladeswader,Southern Toothed Viburnum,Viburnum scabrellum,Southern Toothed Viburnum,Plantae,1397173
emmollon,,American trumpet vine,Campsis radicans,American trumpet vine,Plantae,75995
gcschmidt911,,"",Aesculus pavia,Red Buckeye,Plantae,81708
emmollon,,,Hypericum hypericoides,St. Andrew's cross,Plantae,120009
gladeswader,Gladeswader,Southern Toothed Viburnum,Viburnum scabrellum,Southern Toothed Viburnum,Plantae,1397173
mollycoburn,,"",Magnolia grandiflora,southern magnolia,Plantae,83074
mollycoburn,,"",Taxodium distichum,baldcypress,Plantae,49666
nbullian01,,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
susancone,,,Ruellia,ruellias,Plantae,83892
mollycoburn,,netted chain fern,Woodwardia areolata,netted chain fern,Plantae,118731
lauriefaganjennings,,"",Dioscorea,Cinnamon vines,Plantae,82692
nbullian01,,"",Campsis radicans,American trumpet vine,Plantae,75995
joshua_sims,Joshua Sims,"",Vaccinium,"blueberries, cranberries, and allies",Plantae,48353
mmain,,"",Plantae,plants,Plantae,47126
nbullian01,,"",Lecanoromycetes,common lichens,Fungi,54743
lauriefaganjennings,,"",Athyrium,lady ferns,Plantae,52670
yxugnv,,"",Hypericum hypericoides,St. Andrew's cross,Plantae,120009
nbullian01,,netted chain fern,Woodwardia areolata,netted chain fern,Plantae,118731
gladeswader,Gladeswader,Stiff Dogwood,Cornus foemina,Stiff Dogwood,Plantae,54778
joshua_sims,Joshua Sims,Winged Elm,Ulmus alata,Winged Elm,Plantae,84292
mollycoburn,,"",Elephantopus,Elephant's Feet,Plantae,119610
nbullian01,,"",Bryophyta,mosses,Plantae,311249
mmain,,"",Ulmus,elms,Plantae,53549
gladeswader,Gladeswader,netted chain fern,Woodwardia areolata,netted chain fern,Plantae,118731
lauriefaganjennings,,"",Magnolia grandiflora,southern magnolia,Plantae,83074
gladeswader,Gladeswader,southern lady fern,Athyrium asplenioides,southern lady fern,Plantae,204244
yxugnv,,"",Scleria triglomerata,Whip Nutrush,Plantae,141078
mollycoburn,,"",Toxicodendron radicans,eastern poison ivy,Plantae,58732
paws1985,A. Sabol,Sandhill Crane,Antigone canadensis,Sandhill Crane,Aves,508048
mollycoburn,,"",,,,
susancone,,"",Callicarpa americana,American beautyberry,Plantae,49193
mollycoburn,,"",Pinus glabra,spruce pine,Plantae,135781
lauriefaganjennings,,"",Scleria triglomerata,Whip Nutrush,Plantae,141078
nbullian01,,"",Pinus glabra,spruce pine,Plantae,135781
paws1985,A. Sabol,Northern Parula,Setophaga americana,Northern Parula,Aves,145233
mkinaturalist,"",white clover,Trifolium repens,white clover,Plantae,55745
mollycoburn,,"",Crataegus,hawthorns,Plantae,51148
susancone,,"",Magnolia grandiflora,southern magnolia,Plantae,83074
gladeswader,Gladeswader,Mulberries,Morus,Mulberries,Plantae,56091
susancone,,"",Vitis rotundifolia,muscadine,Plantae,82529
joshua_sims,Joshua Sims,"",Panicoideae,"bristlegrasses, bluestems, paspalums, and allies",Plantae,326013
mollycoburn,,partridgeberry,Mitchella repens,partridgeberry,Plantae,83799
lauriefaganjennings,,netted chain fern,Woodwardia areolata,netted chain fern,Plantae,118731
nbullian01,,"",Pinus,pines,Plantae,47561
mollycoburn,,"",Mikania,hempvines,Plantae,83588
gladeswader,Gladeswader,yellow-eyed grasses,Xyris,yellow-eyed grasses,Plantae,126618
nbullian01,,"",Fungi,Fungi Including Lichens,Fungi,47170
susancone,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
gladeswader,Gladeswader,Entonaema liquescens,Entonaema liquescens,,Fungi,350744
gcschmidt911,,"",Desmodium viridiflorum,Velvetleaf Ticktrefoil,Plantae,161759
nbullian01,,"",Termitoidae,Termites,Insecta,118903
nbullian01,,"",Insecta,Insects,Insecta,47158
mollycoburn,,American beautyberry,Callicarpa americana,American beautyberry,Plantae,49193
susancone,,"",Toxicodendron radicans,eastern poison ivy,Plantae,58732
paws1985,A. Sabol,Osprey,Pandion haliaetus,Osprey,Aves,116999
lauriefaganjennings,,cinnamon fern,Osmundastrum cinnamomeum,cinnamon fern,Plantae,204165
osmunda,Ashley Hamersma,Hypagyrtis,Hypagyrtis,,Insecta,143111
yxugnv,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
bryan-heine,,,Coreopsis basalis,Golden Wave Tickseed,Plantae,160885
mollycoburn,,"",Hydrocotyle,water pennyworts,Plantae,56917
mollycoburn,,"",Begonia,Begonias,Plantae,126405
nbullian01,,southern wood fern,Dryopteris ludoviciana,southern wood fern,Plantae,162116
gladeswader,Gladeswader,,Tracheophyta,vascular plants,Plantae,211194
yxugnv,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
gcschmidt911,,"",Begonia cucullata,Wax begonia,Plantae,159204
bryan-heine,,,Raphanus raphanistrum,Wild radish,Plantae,55411
nbullian01,,"",Araneae,Spiders,Arachnida,47118
gladeswader,Gladeswader,,Begonia,Begonias,Plantae,126405
mollycoburn,,"",Quercus michauxii,swamp chestnut oak,Plantae,119273
mollycoburn,,"",Hypoxis curtissii,swamp star grass,Plantae,164016
lauriefaganjennings,,"",Viburnum nudum,southern wild raisin,Plantae,153200
perrydise_koisplash,Perry McDonald,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
nbullian01,,Eastern Fence Lizard,Sceloporus undulatus,Eastern Fence Lizard,Reptilia,36142
mollycoburn,,"",Chasmanthium sessiliflorum,Longleaf Woodoats,Plantae,84366
emmollon,,Red Tasselflower,Emilia fosbergii,Red Tasselflower,Plantae,129103
bryan-heine,,North American Racer,Coluber constrictor,North American Racer,Reptilia,27137
mollycoburn,,"",Leucobryum,Leucobryum mosses,Plantae,122659
jimsib,,"",Calopteryx maculata,Ebony Jewelwing,Insecta,84481
mollycoburn,,"",Gelsemium,,Plantae,83071
bryan-heine,,North American Racer,Coluber constrictor,North American Racer,Reptilia,27137
mollycoburn,,Pepperdine,Nekemias arborea,peppervine,Plantae,551846
gladeswader,Gladeswader,viburnum,Viburnum,viburnums,Plantae,54774
nbullian01,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
lauriefaganjennings,,"",Dichanthelium,rosette grasses,Plantae,128807
nbullian01,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
yxugnv,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
awisnionski,,Eastern Lubber Grasshopper,Romalea microptera,Eastern Lubber Grasshopper,Insecta,466003
nbullian01,,"",Fungi,Fungi Including Lichens,Fungi,47170
susancone,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
perrydise_koisplash,Perry McDonald,Guinea Paper Wasp,Polistes exclamans,Guinea Paper Wasp,Insecta,133791
kelly49724,Kelly W,,Acanthoideae,,Plantae,851875
kelly49724,Kelly W,,Asimina parviflora,Small-Flower Pawpaw,Plantae,158769
perrydise_koisplash,Perry McDonald,Common Lovebug,Plecia nearctica,Common Lovebug,Insecta,127635
kelly49724,Kelly W,,Quercus margaretiae,sand post oak,Plantae,371998
perrydise_koisplash,Perry McDonald,Banded Hairstreak,Satyrium calanus,Banded Hairstreak,Insecta,58539
kelly49724,Kelly W,,Aralia spinosa,devil's walkingstick,Plantae,82813
kelly49724,Kelly W,,Lactuca graminifolia,grass-leaf lettuce,Plantae,126588
mollycoburn,,Red Bull Assassin Bug,Repipta taurus,Red Bull Assassin Bug,Insecta,308335
perrydise_koisplash,Perry McDonald,Banded Net-winged Beetle,Calopteron discrepans,Banded Net-winged Beetle,Insecta,215882
kelly49724,Kelly W,,Taxodium distichum,baldcypress,Plantae,49666
kelly49724,Kelly W,,Quercus michauxii,swamp chestnut oak,Plantae,119273
samantha3_edwards,,Colubrine Snakes,Colubrinae,Colubrine Snakes,Reptilia,797520
kelly49724,Kelly W,,Pinus taeda,loblolly pine,Plantae,59921
joew_gnv,Joe,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,Aves,9083
gcschmidt911,,"",Ditrysinia fruticosa,Gulf Sebastian-bush,Plantae,333385
samantha3_edwards,,Double-crested Cormorant,Nannopterum auritum,Double-crested Cormorant,Aves,1454382
kelly49724,Kelly W,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
kelly49724,Kelly W,,Thelypteridaceae,marsh fern family,Plantae,56184
mollycoburn,,Ebony Jewelwing,Calopteryx maculata,Ebony Jewelwing,Insecta,84481
kelly49724,Kelly W,,Smilax smallii,Lanceleaf Greenbrier,Plantae,169048
kelly49724,Kelly W,netted chain fern,Woodwardia areolata,netted chain fern,Plantae,118731
susancone,,"",Forsstroemia,Forsstroemia Mosses,Plantae,157330
simba106,,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,Aves,9083
kelly49724,Kelly W,,Dryopteris ludoviciana,southern wood fern,Plantae,162116
mollycoburn,,"",Baccharis glomeruliflora,Silverling,Plantae,159124
kelly49724,Kelly W,,Campsis radicans,American trumpet vine,Plantae,75995
nbullian01,,"",Nyssa sylvatica,Black Tupelo,Plantae,54802
kelly49724,Kelly W,,Pinus,pines,Plantae,47561
susancone,,"",Ditrysinia fruticosa,Gulf Sebastian-bush,Plantae,333385
kelly49724,Kelly W,,Magnolia grandiflora,southern magnolia,Plantae,83074
mollycoburn,,"",Fuirena breviseta,Saltmarsh Umbrella-sedge,Plantae,163114
nbullian01,,Green Anole,Anolis carolinensis,Green Anole,Reptilia,36514
kelly49724,Kelly W,lizard's tail,Saururus cernuus,lizard's tail,Plantae,60742
yxugnv,,"",Nyssa sylvatica,Black Tupelo,Plantae,54802
susancone,,dogfennel,Eupatorium capillifolium,dogfennel,Plantae,131154
janelle4,Janelle A. Peña,southern magnolia,Magnolia grandiflora,southern magnolia,Plantae,83074
susancone,,"",Nyssa sylvatica,Black Tupelo,Plantae,54802
susancone,,"",Vaccinium arboreum,sparkleberry,Plantae,81818
mollycoburn,,"",Nyssa biflora,Swamp tupelo,Plantae,133288
simba106,,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461
amydloba,,Magnolia grandiflora,Magnolia grandiflora,southern magnolia,Plantae,83074
yxugnv,,"",Sphagnum,Sphagnum mosses,Plantae,54704
mollycoburn,,"",Eupatorium,bonesets,Plantae,52935
janelle4,Janelle A. Peña,American black elderberry,Sambucus canadensis,American black elderberry,Plantae,84300
lauriefaganjennings,,American Royal Fern,Osmunda spectabilis,American Royal Fern,Plantae,1002684
gcschmidt911,,"",Symplocos tinctoria,Sweetleaf,Plantae,141855
nbullian01,,"",Fungi,Fungi Including Lichens,Fungi,47170
yxugnv,,American Royal Fern,Osmunda spectabilis,American Royal Fern,Plantae,1002684
gladeswader,Gladeswader,,Angiospermae,flowering plants,Plantae,47125
yxugnv,,"",Trametes cubensis,,Fungi,352539
mollycoburn,,Green Anole,Anolis carolinensis,Green Anole,Reptilia,36514
ngerlach,,Heptagonal Orbweaver,Gea heptagon,Heptagonal Orbweaver,Arachnida,202139
janelle4,Janelle A. Peña,air potato,Dioscorea bulbifera,air potato,Plantae,84537
yxugnv,,"",Fungi,Fungi Including Lichens,Fungi,47170
ngerlach,,Asian Lady Beetle,Harmonia axyridis,Asian Lady Beetle,Insecta,48484
ngerlach,,American Grass Mantis,Thesprotia graminis,American Grass Mantis,Insecta,81926
lilliantomlinson14,,"",Tradescantia,Spiderworts,Plantae,49145
lauriefaganjennings,,"",Trametes,,Fungi,47378
ngerlach,,Virginia pepperweed,Lepidium virginicum,Virginia pepperweed,Plantae,77676
ngerlach,,,Ruellia caroliniensis,Carolina ruellia,Plantae,128653
ngerlach,,straggler daisy,Calyptocarpus vialis,straggler daisy,Plantae,84405
yxugnv,,Grass-leaved Ladies' Tresses,Spiranthes praecox,Grass-leaved Ladies' Tresses,Plantae,128771
kasia_w1,Kasia W,"",Cirsium,Plume Thistles,Plantae,48561
ngerlach,,,Cercis canadensis,eastern redbud,Plantae,48502
nbullian01,,"",Spiranthes,Ladies'-tresses,Plantae,50741
ngerlach,,,Araneoidea,Orbweavers and Allies,Arachnida,319384
lilliantomlinson14,,"",Lonicera,honeysuckles,Plantae,51874
lauriefaganjennings,,"",Angiospermae,flowering plants,Plantae,47125
mollycoburn,,"",Vaccinium arboreum,sparkleberry,Plantae,81818
ngerlach,,,Cnidoscolus stimulosus,spurge nettle,Plantae,160765
ngerlach,,Buren's Pyramid Ant,Dorymyrmex bureni,Buren's Pyramid Ant,Insecta,319444
ngerlach,,,Araneoidea,Orbweavers and Allies,Arachnida,319384
ngerlach,,Dark Flower Scarab,Euphoria sepulcralis,Dark Flower Scarab,Insecta,53340
janelle4,Janelle A. Peña,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461
ngerlach,,,Oxalis debilis,Largeflower pink-sorrel,Plantae,61963
lilliantomlinson14,,"",Ludwigia,Primrose-willows,Plantae,50339
nbullian01,,"",Tracheophyta,vascular plants,Plantae,211194
ngerlach,,Myrmicine Ants,Myrmicinae,Myrmicine Ants,Insecta,69143
lauriefaganjennings,,"",Hypericum hypericoides,St. Andrew's cross,Plantae,120009
lilliantomlinson14,,"",Pseudemys,Cooters,Reptilia,39820
susancone,,Grass-leaved Ladies' Tresses,Spiranthes praecox,Grass-leaved Ladies' Tresses,Plantae,128771
paws1985,A. Sabol,"",Anura,Frogs and Toads,Amphibia,20979
nbullian01,,"",Angiospermae,flowering plants,Plantae,47125
janelle4,Janelle A. Peña,orange cestrum,Cestrum aurantiacum,orange cestrum,Plantae,160361
lauriefaganjennings,,"",Amorpha fruticosa,false indigo bush,Plantae,57356
gladeswader,Gladeswader,Grass-leaved Ladies' Tresses,Spiranthes praecox,Grass-leaved Ladies' Tresses,Plantae,128771
mollycoburn,,"",Sphagnum recurvum,Recurved Peatmoss,Plantae,169231
lauriefaganjennings,,"",Stereum lobatum,,Fungi,1031780
gladeswader,Gladeswader,,Plantae,plants,Plantae,47126
janelle4,Janelle A. Peña,Indian blanket,Gaillardia pulchella,Indian blanket,Plantae,51768
lilliantomlinson14,,Purple Gallinule,Porphyrio martinica,Purple Gallinule,Aves,519
mkinaturalist,"","",Ambrosia artemisiifolia,common ragweed,Plantae,53587
mollycoburn,,"",Herpothallon,Christmas lichens,Fungi,463096
mollycoburn,,American Royal Fern,Osmunda spectabilis,American Royal Fern,Plantae,1002684
mkinaturalist,"","",Camphora,,Plantae,1541780
night36515,Night Shadow,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
mkinaturalist,"","",Acer rubrum,red maple,Plantae,48098
santi0916,,Orgyia,Orgyia,,Insecta,49031
mkinaturalist,"","",Sisyrinchium micranthum,Blue Pigroot,Plantae,284004
janelle4,Janelle A. Peña,morning-glories,Ipomoea,morning-glories,Plantae,52346
mollycoburn,,"",Trametes lactinea,Latte Bracket,Fungi,328305
mkinaturalist,"","",Erigeron,fleabanes and horseweeds,Plantae,50879
susancone,,"",Quercus,oaks,Plantae,47851
mkinaturalist,"","",Bidens alba,White beggarticks,Plantae,1095846
mkinaturalist,"","",Oxalis corniculata,Creeping Woodsorrel,Plantae,53168
mkinaturalist,"","",Medicago,medicks,Plantae,53152
